order	screen_id	title	width	height	device_type	image_path	html_path
01	73ac0e15f5df49249ac2197064adeb46	采购单详情	2560	2352	DESKTOP	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/images/01_73ac0e15f5df49249ac2197064adeb46.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/html/01_73ac0e15f5df49249ac2197064adeb46.html
02	e8d81fc900d54197ba485cb076d1205c	智慧记 Web PC 管理端产品规划	0	0	DESKTOP		/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/html/02_e8d81fc900d54197ba485cb076d1205c.html
03	9498657874964268734	image.png	2740	1564		/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/images/03_9498657874964268734.png	
04	debb39738a0d4034affe3dbb4dd048de	采购单新建/编辑	2560	2048	DESKTOP	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/images/04_debb39738a0d4034affe3dbb4dd048de.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/html/04_debb39738a0d4034affe3dbb4dd048de.html
05	fd733d8a7ada48cea2f3f567417ce9e2	经营首页 Dashboard	2560	2048	DESKTOP	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/images/05_fd733d8a7ada48cea2f3f567417ce9e2.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/html/05_fd733d8a7ada48cea2f3f567417ce9e2.html
06	595ffe36f46b4d478103fd4b63280706	采购单列表	2560	2048	DESKTOP	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/images/06_595ffe36f46b4d478103fd4b63280706.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/html/06_595ffe36f46b4d478103fd4b63280706.html
07	a5aaaa8f7f04438d84d1fdc749d6a5cb	商品列表	2560	2048	DESKTOP	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/images/07_a5aaaa8f7f04438d84d1fdc749d6a5cb.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/html/07_a5aaaa8f7f04438d84d1fdc749d6a5cb.html
08	a3f41bc2a6e5494f8538d16bb739d8e4	销售单详情	2560	2048	DESKTOP	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/images/08_a3f41bc2a6e5494f8538d16bb739d8e4.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/html/08_a3f41bc2a6e5494f8538d16bb739d8e4.html
09	6d40c074a1284479a453f5a32a603618	销售单新建/编辑	2560	2048	DESKTOP	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/images/09_6d40c074a1284479a453f5a32a603618.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/html/09_6d40c074a1284479a453f5a32a603618.html
10	778c9991ab44444d978da4b2a28bd2a3	销售单列表	2560	2048	DESKTOP	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/images/10_778c9991ab44444d978da4b2a28bd2a3.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/zhihuiji_web_pc_admin_mcp_17989845462303116064/html/10_778c9991ab44444d978da4b2a28bd2a3.html
