order	screen_id	title	image_path	html_path
01	67429855c01c456d984034f3cb0b8ec4	系统设置 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/01_67429855c01c456d984034f3cb0b8ec4.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/01_67429855c01c456d984034f3cb0b8ec4.html
02	670a28679b57420d8c75e670f964b58c	供应商档案 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/02_670a28679b57420d8c75e670f964b58c.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/02_670a28679b57420d8c75e670f964b58c.html
03	d750377ad8d04dbfb8e502c0092798fc	客户档案 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/03_d750377ad8d04dbfb8e502c0092798fc.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/03_d750377ad8d04dbfb8e502c0092798fc.html
04	c9feeec36d6742f8adf33a5c8ee2168b	销售退货 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/04_c9feeec36d6742f8adf33a5c8ee2168b.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/04_c9feeec36d6742f8adf33a5c8ee2168b.html
05	624955bd91ed45fa9d4093c2fe7259fa	付款单详情 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/05_624955bd91ed45fa9d4093c2fe7259fa.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/05_624955bd91ed45fa9d4093c2fe7259fa.html
06	790e9c9b67f74e29a312d5f9f333873c	AI 智能助手 - 思考查询中 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/06_790e9c9b67f74e29a312d5f9f333873c.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/06_790e9c9b67f74e29a312d5f9f333873c.html
07	faf71221e71e4b43a37192508eecfe0d	档案管理 - 商品列表展示 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/07_faf71221e71e4b43a37192508eecfe0d.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/07_faf71221e71e4b43a37192508eecfe0d.html
08	018b7e292a0c488fb689a5d279dafb6b	经营报表 - 多维数据可视化版	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/08_018b7e292a0c488fb689a5d279dafb6b.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/08_018b7e292a0c488fb689a5d279dafb6b.html
09	4664bc10c2db4ff7beecb0cb710f5c51	AI 智能助手 - 深度思考与优化布局版	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/09_4664bc10c2db4ff7beecb0cb710f5c51.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/09_4664bc10c2db4ff7beecb0cb710f5c51.html
10	851bba4950bc4f1385ade2cce0668d2f	单据中心 (底部优化版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/10_851bba4950bc4f1385ade2cce0668d2f.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/10_851bba4950bc4f1385ade2cce0668d2f.html
11	71bd8f9c60234565aadd7fd505d9bc16	商品编辑 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/11_71bd8f9c60234565aadd7fd505d9bc16.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/11_71bd8f9c60234565aadd7fd505d9bc16.html
12	13620e8ea5ec47a08a93ee4ec4c6c331	库存调整 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/12_13620e8ea5ec47a08a93ee4ec4c6c331.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/12_13620e8ea5ec47a08a93ee4ec4c6c331.html
13	3f9b69dd02ad4f6cb092ed93b91f77af	销售收款 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/13_3f9b69dd02ad4f6cb092ed93b91f77af.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/13_3f9b69dd02ad4f6cb092ed93b91f77af.html
14	0f8c2bf610ac442f93e70547fcd2539e	采购开单 - 底部视觉优化版	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/14_0f8c2bf610ac442f93e70547fcd2539e.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/14_0f8c2bf610ac442f93e70547fcd2539e.html
15	11484f8c3688487085ddd485eaca5daa	首页 - 经营总览 (底部优化版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/15_11484f8c3688487085ddd485eaca5daa.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/15_11484f8c3688487085ddd485eaca5daa.html
16	b70cadecc87e49d583075e0b7a71b38b	资金流水详情 (亮色玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/16_b70cadecc87e49d583075e0b7a71b38b.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/16_b70cadecc87e49d583075e0b7a71b38b.html
17	20cc45c3ab5940ff81061dc21851f0c0	供应商对账 (亮色玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/17_20cc45c3ab5940ff81061dc21851f0c0.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/17_20cc45c3ab5940ff81061dc21851f0c0.html
18	8c0d2379aca145efbc7997554ea63c36	采购入库 (亮色玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/18_8c0d2379aca145efbc7997554ea63c36.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/18_8c0d2379aca145efbc7997554ea63c36.html
19	124304d91cd44e088d3227e90f35d1ae	商品库存流水 (亮色玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/19_124304d91cd44e088d3227e90f35d1ae.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/19_124304d91cd44e088d3227e90f35d1ae.html
20	2f7065105f7e4b519a479d6d8d7a60b3	销售单详情 (亮色玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/20_2f7065105f7e4b519a479d6d8d7a60b3.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/20_2f7065105f7e4b519a479d6d8d7a60b3.html
21	5aafbb8f938e42fe9021390d45c30d42	销售单详情 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/21_5aafbb8f938e42fe9021390d45c30d42.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/21_5aafbb8f938e42fe9021390d45c30d42.html
22	6565096a23a94309b0d1e37126ed35b1	资金流水详情 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/22_6565096a23a94309b0d1e37126ed35b1.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/22_6565096a23a94309b0d1e37126ed35b1.html
23	151d6ada46844fc385e54f5f4e597104	供应商对账 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/23_151d6ada46844fc385e54f5f4e597104.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/23_151d6ada46844fc385e54f5f4e597104.html
24	d97470c943fa4c79980bd71c9e412727	商品库存流水 (极光玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/24_d97470c943fa4c79980bd71c9e412727.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/24_d97470c943fa4c79980bd71c9e412727.html
25	546176a5ad574e5282033dee6b8148d4	采购退货 (亮色玻璃版)	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/images/25_546176a5ad574e5282033dee6b8148d4.png	/Users/sunyiyang/Desktop/Project/master-goods/stitch_exports/visual-design_system_framework_14840154594131085259/html/25_546176a5ad574e5282033dee6b8148d4.html
